N,B,dtype,iters,tag,driver,lower,deterministic_mode,tol,max_sweeps,sort_eig,k_request,which,il,iu,chunk_size,time_ms,time_per_matrix_ms,throughput_mat_per_s,nonzero_info,max_info,k_solved_min,k_solved_max,status,error
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-05_sw20,syevj_batched,False,0,1e-05,20,True,512,largest,1,-1,16,35.4926503499349,2.218290646870931,450.7975550501358,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-05_sw50,syevj_batched,False,0,1e-05,50,True,512,largest,1,-1,16,35.5132802327474,2.2195800145467124,450.53568397903524,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-05_sw100,syevj_batched,False,0,1e-05,100,True,512,largest,1,-1,16,35.488756815592446,2.218047300974528,450.84701284802946,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-06_sw20,syevj_batched,False,0,1e-06,20,True,512,largest,1,-1,16,37.15428161621094,2.3221426010131836,430.6367746596122,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-06_sw50,syevj_batched,False,0,1e-06,50,True,512,largest,1,-1,16,37.019615173339844,2.3137259483337402,432.2033042505155,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-06_sw100,syevj_batched,False,0,1e-06,100,True,512,largest,1,-1,16,36.907615661621094,2.3067259788513184,433.5148644304819,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-07_sw20,syevj_batched,False,0,1e-07,20,True,512,largest,1,-1,16,83.64076741536458,5.227547963460286,191.29427544038583,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-07_sw50,syevj_batched,False,0,1e-07,50,True,512,largest,1,-1,16,83.63276672363281,5.227047920227051,191.3125755228512,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo0_tol1e-07_sw100,syevj_batched,False,0,1e-07,100,True,512,largest,1,-1,16,83.58069356282552,5.223793347676595,191.43176872507286,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_vec_uplo1_det0,xsyev_batched,True,0,1e-05,20,True,512,largest,1,-1,16,16.0314458211263,1.0019653638203938,998.0384912579212,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_vec_uplo1_det1,xsyev_batched,True,1,1e-05,20,True,512,largest,1,-1,16,16.034997304280598,1.0021873315175374,997.8174424593601,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_vec_uplo1_det2,xsyev_batched,True,2,1e-05,20,True,512,largest,1,-1,16,16.031861623128254,1.0019913514455159,998.0126061540919,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_vec_uplo0_det0,xsyev_batched,False,0,1e-05,20,True,512,largest,1,-1,16,15.818655649820963,0.9886659781138102,1011.4639545985116,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_vec_uplo0_det1,xsyev_batched,False,1,1e-05,20,True,512,largest,1,-1,16,15.829920450846354,0.9893700281778971,1010.7441821758841,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_vec_uplo0_det2,xsyev_batched,False,2,1e-05,20,True,512,largest,1,-1,16,15.823711395263672,0.9889819622039795,1011.1407874128123,0,0,512,512,ok,
512,16,float32,3,syevd_chunk4,syevd,True,0,1e-05,20,True,512,largest,1,-1,4,76.4146219889323,4.7759138743082685,209.3840103313918,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_chunk4,xsyev_batched,True,0,1e-05,20,True,512,largest,1,-1,4,55.158304850260414,3.447394053141276,290.0741791002386,0,0,512,512,ok,
512,16,float32,3,syevd_chunk8,syevd,True,0,1e-05,20,True,512,largest,1,-1,8,76.69225565592448,4.79326597849528,208.62601918742754,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_chunk8,xsyev_batched,True,0,1e-05,20,True,512,largest,1,-1,8,28.92815907796224,1.80800994237264,553.0943036119073,0,0,512,512,ok,
512,16,float32,3,syevd_chunk16,syevd,True,0,1e-05,20,True,512,largest,1,-1,16,76.170166015625,4.7606353759765625,210.0559948460382,0,0,512,512,ok,
512,16,float32,3,xsyev_batched_chunk16,xsyev_batched,True,0,1e-05,20,True,512,largest,1,-1,16,16.005728403727215,1.000358025232951,999.6421029032405,0,0,512,512,ok,
512,16,float32,3,syevdx_vec_k8_largest,syevdx,True,0,1e-05,20,True,8,largest,505,512,16,82.90164184570312,5.181352615356445,192.9997964308025,0,0,8,8,ok,
512,16,float32,3,syevdx_vec_k8_smallest,syevdx,True,0,1e-05,20,True,8,smallest,1,8,16,82.91872151692708,5.182420094807942,192.96004216289984,0,0,8,8,ok,
512,16,float32,3,syevdx_vec_k16_largest,syevdx,True,0,1e-05,20,True,16,largest,497,512,16,82.87486775716145,5.179679234822591,193.0621481880723,0,0,16,16,ok,
512,16,float32,3,syevdx_vec_k16_smallest,syevdx,True,0,1e-05,20,True,16,smallest,1,16,16,82.90133158365886,5.181333223978679,193.00051874141246,0,0,16,16,ok,
512,16,float32,3,syevdx_vec_k32_largest,syevdx,True,0,1e-05,20,True,32,largest,481,512,16,76.4273681640625,4.776710510253906,209.34909031086437,0,0,32,32,ok,
512,16,float32,3,syevdx_vec_k32_smallest,syevdx,True,0,1e-05,20,True,32,smallest,1,32,16,76.44342549641927,4.777714093526204,209.30511546410835,0,0,32,32,ok,
512,16,float32,3,syevdx_vec_k64_largest,syevdx,True,0,1e-05,20,True,64,largest,449,512,16,76.30122884114583,4.768826802571614,209.69518110004432,0,0,64,64,ok,
512,16,float32,3,syevdx_vec_k64_smallest,syevdx,True,0,1e-05,20,True,64,smallest,1,64,16,76.31812032063802,4.769882520039876,209.64876929330327,0,0,64,64,ok,
512,16,float32,3,syevdx_vec_k128_largest,syevdx,True,0,1e-05,20,True,128,largest,385,512,16,76.27191670735677,4.766994794209798,209.77576925711017,0,0,128,128,ok,
